permno,date,ret,dlret,shrout,prc,vol,exchcd,ret_adj
41048,1965-06-30,-0.137931,,4160.0,3.125,318.0,1,-0.137931
78844,1994-01-31,0.121495,,519.0,30.0,368.0,3,0.1214949999999999
91700,2009-10-30,0.002591,,3900.0,106.43,3816.0,5,0.002591
75168,2003-08-29,0.0,,24270.0,10.52,4550.0,1,0.0
41487,1984-11-30,-0.009804,,2412.0,25.25,727.0,3,-0.009804
77073,2003-03-31,0.037113,,9463.0,15.01,1562.0,1,0.0371129999999999
86247,1986-06-30,-0.012105,,1737.0,-9.125,706.0,3,-0.012105
77642,1997-01-31,0.038095,,4420.0,13.625,4036.0,1,0.0380949999999999
71239,1990-09-28,-0.210526,,11439.0,7.5,8434.0,2,-0.210526
79731,2018-01-31,0.023337,,13918.0,43.85,11153.0,3,0.0233369999999999
85299,2006-05-31,0.002204,,12062.0,22.74,5185.0,3,0.002204
82678,2012-04-30,-0.168735,,7219.0,3.35,26125.0,3,-0.1687349999999999
75558,1991-09-30,-0.016393,,10507.0,7.5,5839.0,1,-0.0163929999999999
77454,1998-03-31,-0.022727,,21716.0,26.875,2653.0,1,-0.022727
30226,1962-11-30,0.02,,588.0,-6.375,500.0,2,0.02
91038,2020-07-31,0.4312,,117236.0,0.7,183026.0,2,0.4312
12224,1988-11-30,,,2350.0,8.125,13724.0,2,0.0
60311,1981-04-30,0.705882,,1157.0,-3.625,,3,0.7058819999999999
90746,2008-10-31,-0.364042,,17504.0,8.56,235609.0,3,-0.364042
20976,1957-09-30,-0.120438,,2849.0,30.125,711.0,1,-0.120438
15456,1987-06-30,0.121053,,65492.0,53.25,55464.0,1,0.121053
10579,1987-04-30,-0.181818,,9811.0,-0.14063,305.0,3,-0.181818
75896,1988-04-29,0.344828,,19432.0,4.875,12565.0,3,0.3448280000000001
87292,2006-12-29,0.035994,,133068.0,35.69,235941.0,1,0.035994
91320,2017-02-28,-0.030848,,30850.0,32.36,726825.0,4,-0.0308479999999999
20765,2004-08-31,0.022862,,44822.0,12.08,41261.0,1,0.0228619999999999
42892,1981-06-30,0.014902,,22470.0,38.5,18141.0,1,0.0149019999999999
89646,2007-05-31,-0.003599,,11046.0,22.15,4379.0,3,-0.003599
17420,1977-09-30,-0.023529,,563.0,-10.375,,3,-0.023529
66149,1995-08-31,0.0,,10685.0,13.25,2942.0,1,0.0
46763,1975-11-28,0.0,,713.0,-1.25,,3,0.0
43609,1966-09-30,-0.0625,,2763.0,22.5,262.0,1,-0.0625
87493,1986-02-28,0.291667,,840.0,-23.25,2123.0,3,0.2916669999999999
